"State","Name","Vote","Party"
"AL","Shelby","Nay","Republican"
"AK","Begich","Yea","Democrat"
"AZ","Kyl","Nay","Republican"
"AZ","McCain","Nay","Republican"
"AR","Pryor","Yea","Democrat"
"CA","Boxer","Yea","Democrat"
"CO","Bennet","Yea","Democrat"
"CO","Udall","Yea","Democrat"
"ID","Lieberman","Yea","Democrat"
"DE","Carper","Yea","Democrat"
"FL","LeMieux","Nay","Republican"
"FL","Nelson","Yea","Democrat"
"GA","Isakson","Nay","Republican"
"HI","Akaka","Yea","Democrat"
"ID","Crapo","Nay","Republican"
"ID","Risch","Nay","Republican"
"IL","Durbin","Yea","Democrat"
"IN","Bayh","Yea","Democrat"
"IA","Grassley","Nay","Republican"
"IA","Harkin","Yea","Democrat"
"KS","Roberts","Nay","Republican"
"KY","Bunning","Nay","Republican"
"LA","Landrieu","Yea","Democrat"
"LA","Vitter","Nay","Republican"
"ME","Snowe","Nay","Republican"
"MD","Cardin","Yea","Democrat"
"MA","Kerry","Yea","Democrat"
"MA","Kirk","Yea","Democrat"
"MI","Stabenow","Yea","Democrat"
"MN","Franken","Yea","Democrat"
"MS","Cochran","Nay","Republican"
"MS","Wicker","Nay","Republican"
"MO","McCaskill","Yea","Democrat"
"MT","Baucus","Yea","Democrat"
"NE","Johanns","Nay","Republican"
"NE","Nelson","Yea","Democrat"
"NV","Reid","Yea","Democrat"
"NH","Gregg","Nay","Republican"
"NJ","Lautenberg","Yea","Democrat"
"NJ","Menendez","Yea","Democrat"
"NM","Udall","Yea","Democrat"
"NY","Gillibrand","Yea","Democrat"
"NC","Burr","Nay","Republican"
"NC","Hagan","Yea","Democrat"
"ND","Dorgan","Yea","Democrat"
"OH","Brown","Yea","Democrat"
"OK","Coburn","Nay","Republican"
"OK","Inhofe","Nay","Republican"
"OR","Wyden","Yea","Democrat"
"PA","Casey","Yea","Democrat"
"RI","Reed","Yea","Democrat"
"RI","Whitehouse","Yea","Democrat"
"SC","Graham","Nay","Republican"
NA,"South Dakota:","Nay","Democrat"
"SD","Thune","Nay","Republican"
NA,"Tennessee:","Nay","Democrat"
"TN","Corker","Nay","Republican"
NA,"Texas:","Nay","Democrat"
"TX","Hutchison","Nay","Republican"
NA,"Utah:","Nay","Democrat"
"UT","Hatch","Nay","Republican"
NA,"Vermont:","Nay","Democrat"
"VT","Sanders","Yea","Democrat"
NA,"Virginia:","Nay","Democrat"
"VA","Webb","Yea","Democrat"
NA,"Washington:","Nay","Democrat"
"WA","Murray","Yea","Democrat"
NA,"West Virginia:","Nay","Democrat"
"WV","Rockefeller","Yea","Democrat"
NA,"Wisconsin:","Nay","Democrat"
"WI","Kohl","Yea","Democrat"
NA,"Wyoming:","Nay","Democrat"
"WY","Enzi","Nay","Republican"
